"value.1...","year","units","variable","scenario","model","ensemble"
0.000379084085579962,"2006","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000381856691092253,"2007","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000380892568500713,"2008","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000383700389647856,"2009","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000386930507374927,"2010","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.00038947255234234,"2011","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000391002889955416,"2012","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000392682442907244,"2013","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000395000621210784,"2014","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000396807852666825,"2015","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000398924690671265,"2016","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000401695462642238,"2017","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000403928861487657,"2018","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000405224389396608,"2019","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.00040864443872124,"2020","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000409838074119762,"2021","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.000410806853324175,"2022","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
0.00041361094918102,"2023","Mole fraction of CO2 (1e-6)","co2","rcp45","GFDL-ESM2M","r1i1p1"
